v;Designator;Package;Quantity;Designation;Supplier and ref;Price;Ordered Quantity;Summary;Variant B
34;J2;Pin_Header_Straight_1x03_Pitch2.54mm;1;Conn_01x03_Male;https://www.rcscomponents.kiev.ua/product/wh-3-wf-03s-ci3103p1v00-ns25-w3p-vilka-na-platu_12374.html;1,5;2;3;
35;R11,R13;R_2010;2;0.5;https://www.rcscomponents.kiev.ua/product/1-ohm-5-3-4w-200v-2010-rc2010jk-1r-hitano_51177.html;0,7;10;7;
36;R15;R_0805;1;0.33;https://www.rcscomponents.kiev.ua/product/0-33-ohm-5-0-125w-150v-0805-rl0805jr-0r33-hitano-rezistor-smd_25056.html;0,5;10;5;
37;R36;R_0805;1;1M;https://www.rcscomponents.kiev.ua/product/1-mohm-5-0-125w-150v-0805-rc0805jr-1mr-hitano-rezistor-smd_27810.html;0,09;100;9;
38;U1;TQFP-32_7x7mm_Pitch0.8mm;1;ATMEGA328P-AU;https://www.rcscomponents.kiev.ua/product/atmega328p-au_29080.html;65;2;130;
39;U2;SOIC-8-N;1;TL7705;https://www.rcscomponents.kiev.ua/product/tl7705bcd_123304.html;9;2;18;
40;U3;SOT-223-3_TabPin2;1;LM1117-3.3;https://www.rcscomponents.kiev.ua/product/lm1117mp-3-3-nopb_73474.html;24,5;2;49;
41;U4;Ceramic_Filter;1;MT3608;https://radiostore.com.ua/p563091417-mikroshema-mt3608-sot23.html;4;2;8;
42;Q1,Q2;SOT-23;2;MMBT3904;https://www.rcscomponents.kiev.ua/product/mmbt3904lt1g-ons_58026.html;1;4;4;
43;корпус;plastic case;1;Z101 UKR;https://korpusdnepr.com/p360876244-korpus-z101-ukr.html;59;2;118;
;;;;;;;;;
;;;;;;;;906,5;
